Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items
393514,2,ALDERMAN,STACKS,PL1205 .H6 1976,1976,Acoustical studies of Mandarin vowels and tones /,"Howie, John Marshall.",X000471010,BOOK,6/28/96,11/20/17,STACKS,2,0,1,1
2710786,2,ALDERMAN,STACKS,PL1205 .H754 1987,1987,Yu yin xue da gang /,"Xie, Yunfei.",X030225817,BOOK,8/15/97,9/27/07,STACKS,0,0,0,1
6499664,2,ALDERMAN,STACKS,PL1205 .H838 2014,2014,"""Hua yi yi yu"" yan jiu /","Huang, Zongjian,",X031712891,BOOK,1/28/15,3/14/17,STACKS,0,0,0,1
719650,2,ALDERMAN,STACKS,PL1205 .J6 1912,1912,"A Cantonese phonetic reader,","Jones, Daniel,",X001189409,BOOK,6/29/96,9/27/07,STACKS,0,0,0,1
1939754,2,ALDERMAN,STACKS,PL1205 .T74 1990,1990,An acoustic phonetic study on tones in Mandarin Chinese /,"Tseng, Chiu-yu.",X002049244,BOOK,6/30/96,4/5/17,STACKS,2,0,1,1
661263,2,ALDERMAN,STACKS,PL1205 .W29 1983,1983,"Tone, segment, and syllable in Chinese : a polydimensional approach to surface phonetic structure /","Walton, A. Ronald.",X000779070,BOOK,6/29/96,5/7/15,STACKS,1,0,1,1
2876208,2,ALDERMAN,STACKS,PL1205 .W36,1952,Zen yang jiao xue zhu yin zi mu /,"Wan, Qian,",X004317577,BOOK,2/4/99,9/27/07,STACKS,0,0,0,1
1850104,2,ALDERMAN,STACKS,PL1205 .W778 1986,1986,Han yu pu dong hua dan yin jie yu tu ce = The spectrographic album of mono-syllables of standard Chinese /,"Wu, Zongji,",X001262691,BOOK,6/30/96,9/22/09,STACKS,0,0,2,1
2883781,2,ALDERMAN,STACKS,PL1205 .Y35 1957,1957,Xing sheng tong /,"Yang, Qiong.",X004317634,BOOK,2/23/99,9/27/07,STACKS,0,0,2,1
4470939,2,ALDERMAN,STACKS,PL1205 .Z43 2005,2005,"""Si sheng tong jie"" yan jiu /","Zhang, Xiaoman,",X030358135,BOOK,2/28/07,4/5/17,STACKS,1,0,0,1
1043163,2,ALDERMAN,STACKS,PL1209 .D62,1972,"An introduction to the pronunciation of Chinese,","Dow, Francis D. M.",X000471059,BOOK,6/29/96,9/27/07,STACKS,0,0,1,1
1850105,2,ALDERMAN,STACKS,PL1209 .P588 1986,1986,Pu tong hua yi du ci shen yin biao : 1985 nian 12 yue xiu ding = Putonghua yiduci shenyin biao /,,X001362188,BOOK,6/30/96,9/27/07,STACKS,0,0,0,1
