Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
BD 000031 .L28  2014,BD31 .L28 2014,6309599,ALDERMAN,2014,Freedom and limits /,"Lachs, John,",X031655684,STACKS,STACKS,BOOK,7/2/14,7/8/14,1,0,0,1,1
BD 000031 .M5,BD31 .M5,213082,ALDERMAN,1979,Philosophy applied to controversial issues in a democratic society /,"Moore, Bradley G.",X000553760,STACKS,STACKS,BOOK,6/28/96,7/17/07,0,0,2,1,1
BD 000031 .P56  2001,BD31 .P56 2001,3712596,ALDERMAN,2001,Socrates café : a fresh taste of philosophy /,"Phillips, Christopher,",X004479674,STACKS,STACKS,BOOK,4/24/01,4/10/06,0,0,2,13,1
BD 000031 .P56  2001,BD31 .P56 2001,3712596,CLEMONS,2001,Socrates café : a fresh taste of philosophy /,"Phillips, Christopher,",X004479544,BY-REQUEST,BY-REQUEST,BOOK,4/24/01,12/15/11,0,0,0,22,1
BD 000031 .R32  1969,BD31 .R32 1969,1156171,ALDERMAN,1969,The enduring questions; main problems of philosophy,"Rader, Melvin (Melvin Miller),",X000336061,STACKS,STACKS,BOOK,6/29/96,9/12/08,0,0,0,4,1
BD 000031 .R38  2006,BD31 .R38 2006,4332105,ALDERMAN,2006,The big questions : philosophy for everyone /,"Rauhut, Nils Ch.",X004909737,STACKS,STACKS,BOOK,12/6/05,12/29/16,1,0,0,3,1
BD 000031 .S2,BD31 .S2,4390610,ALDERMAN,1892,First steps in philosophy (physical and ethical),"Salter, William Mackintire,",X030125608,STACKS,STACKS,BOOK,8/22/06,1/1/00,0,0,0,0,1
BD 000031 .S3,BD31 .S3,1156175,ALDERMAN,1966,Primary philosophy.,"Scriven, Michael.",X000304715,STACKS,CHECKEDOUT,BOOK,6/29/96,10/9/17,0,0,0,3,1
BD 000031 .S4  1917,BD31 .S4 1917,1156176,ALDERMAN,1917,"The essentials of philosophy,","Sellers, Roy Wood.",X001862379,STACKS,STACKS,BOOK,6/29/96,6/19/15,0,0,0,2,1
BD 000031 .S45,BD31 .S45,4598797,ALDERMAN,1926,"The principles and problems of philosophy,","Sellars, Roy Wood,",X030238302,STACKS,STACKS,BOOK,6/14/07,1/1/00,0,0,0,0,1
BD 000031 .S47  1932,BD31 .S47 1932,1156177,ALDERMAN,1932,"The philosophy of physical realism,","Sellars, Roy Wood,",X001928943,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,1
BD 000031 .S5  1916,BD31 .S5 1916,1156178,ALDERMAN,1915,"Lessons in scholastic philosophy,","Shallo, Michael W.",X001325713,STACKS,STACKS,BOOK,6/29/96,6/19/15,0,0,0,0,1
