Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
BM 000535 .D35,BM535 .D35,477772,ALDERMAN,1952,Torah in the messianic age and/or the age to come.,"Davies, W. D. (William David),",X000074662,STACKS,STACKS,BOOK,6/29/96,12/11/05,0,0,1,4,1
BM 000535 .D367  2014,BM535 .D367 2014,6387698,ALDERMAN,2014,Vatican II : Catholic doctrines on Jews and Muslims /,"D'Costa, Gavin,",X031652514,STACKS,STACKS,BOOK,11/6/14,4/12/18,3,5,0,8,2
BM 000535 .D38  1997,BM535 .D38 1997,2762094,ALDERMAN,1997,How silent were the churches? : Canadian Protestantism and the Jewish plight during the Nazi era /,"Davies, Alan T.",X004151399,STACKS,STACKS,BOOK,1/28/98,11/30/00,0,0,1,4,1
BM 000535 .D385  1996,BM535 .D385 1996,2520628,ALDERMAN,1996,Le Déchirement : juifs et chrétiens au premier siècle /,,X006055974,STACKS,STACKS,BOOK,7/1/96,8/11/09,0,0,0,2,1
BM 000535 .D43  1994,BM535 .D43 1994,2324922,ALDERMAN,1994,Anonymus dialogus cum Iudaeis : saeculi ut videtur sexti /,,X002497276,STACKS,STACKS,BOOK,7/1/96,10/13/08,0,0,0,0,1
BM 000535 .D44,BM535 .D44,518162,ALDERMAN,1976,Origen and the Jews : studies in Jewish-Christian relations in third-century Palestine /,"De Lange, N. R. M. (Nicholas Robert Michael),",X000184545,STACKS,STACKS,BOOK,6/29/96,4/12/18,3,20,6,47,1
BM 000535 .D44,BM535 .D44,518162,CLEMONS,1976,Origen and the Jews : studies in Jewish-Christian relations in third-century Palestine /,"De Lange, N. R. M. (Nicholas Robert Michael),",X000184546,BY-REQUEST,BY-REQUEST,BOOK,6/29/96,5/16/12,1,2,0,11,3
BM 000535 .D448  1989,BM535 .D448 1989,1796539,ALDERMAN,1989,Guidaismo e nuovo testamento : il caso delle decime /,"Del Verme, Marcello.",X001844494,STACKS,STACKS,BOOK,6/30/96,10/13/08,0,0,0,0,1
BM 000535 .D46  1999,BM535 .D46 1999,2939286,ALDERMAN,1999,Den Menschen zugewandt leben : Festschrift für Werner Licharz /,,X004341607,STACKS,STACKS,BOOK,8/23/99,10/13/08,0,0,4,0,1
BM 000535 .D48413  2012,BM535 .D48413 2012,5721562,ALDERMAN,2012,Judaism in Christian eyes : ethnographic descriptions of Jews and Judaism in early modern Europe /,"Deutsch, Yaacov.",X031214286,STACKS,STACKS,BOOK,7/20/12,4/12/18,3,16,2,19,1
BM 000535 .D53,BM535 .D53,519024,ALDERMAN,1975,Disputation and dialogue : readings in the Jewish-Christian encounter /,,X000164390,STACKS,STACKS,BOOK,6/29/96,1/13/97,0,0,1,1,1
BM 000535 .D53,BM535 .D53,519024,ALDERMAN,1975,Disputation and dialogue : readings in the Jewish-Christian encounter /,,X000164391,STACKS,STACKS,BOOK,6/29/96,1/25/00,0,0,3,6,1
BM 000535 .D78  1999,BM535 .D78 1999,2908326,ALDERMAN,1999,"Jews and Christians : the parting of the ways, A.D. 70 to 135 : the second Durham-Tübingen Research Symposium on Earliest Christianity and Judaism (Durham, September 1989) /",Durham-Tübingen Research Symposium on Earliest Christianity and Judaism,X004319359,STACKS,CHECKEDOUT,BOOK,5/31/99,3/1/19,4,3,7,27,1
BM 000535 .E26  1967,BM535 .E26 1967,1164508,ALDERMAN,1967,Elder and younger brothers; the encounter of Jews and Christians,"Eckardt, A. Roy (Arthur Roy),",X001038525,STACKS,STACKS,BOOK,6/29/96,4/26/04,0,0,0,1,1
BM 000535 .E3  1986,BM535 .E3 1986,70318,ALDERMAN,1986,"Jews and Christians, the contemporary meeting /","Eckardt, A. Roy (Arthur Roy),",X001078742,STACKS,STACKS,BOOK,6/28/96,4/26/04,0,0,2,2,1
BM 000535 .E42  2012,BM535 .E42 2012,5720814,ALDERMAN,2012,"Church, nation and race : Catholics and antisemitism in Germany and England, 1918-1945 /","Ehret, Ulrike.",X031214344,STACKS,STACKS,BOOK,7/14/12,8/22/12,0,0,0,0,1
BM 000535 .E43  1955,BM535 .E43 1955,799079,ALDERMAN,1955,"Moses and Jesus; a timely consideration,","Elkusch, Gabriel.",X001912072,STACKS,STACKS,BOOK,6/29/96,10/13/08,0,0,0,4,1
BM 000535 .E44416  2000,BM535 .E44416 2000,3697869,ALDERMAN,2000,Chrze?cijanie i antysemityzm : mi?dzy bolesn? przesz?o?ci? a nadziej? jutra /,"Elihai, Yohanan.",X004530080,STACKS,STACKS,BOOK,3/9/01,10/13/08,0,0,0,4,1
BM 000535 .E455  2007,BM535 .E455 2007,4596682,ALDERMAN,2007,"Living together, living apart : rethinking Jewish-Christian relations in the Middle Ages /","Elukin, Jonathan M.,",X030103747,STACKS,CHECKEDOUT,BOOK,6/5/07,10/10/17,2,4,1,8,1
BM 000535 .E455  2007,BM535 .E455 2007,4596682,CLEMONS,2007,"Living together, living apart : rethinking Jewish-Christian relations in the Middle Ages /","Elukin, Jonathan M.,",X030104037,BY-REQUEST,BY-REQUEST,BOOK,6/5/07,1/1/00,0,0,0,0,1
BM 000535 .E83  1998,BM535 .E83 1998,2841153,ALDERMAN,1998,"The Tortosa disputation : regesta of documents from the Archivo de la Corona de Aragón, Fernando I, 1412-1416 /","Escribà, Gemma.",X006029382,STACKS,STACKS,BOOK,10/12/98,10/14/05,0,0,0,2,1
BM 000535 .E86  1991,BM535 .E86 1991,1825075,ALDERMAN,1991,Essential papers on Judaism and Christianity in conflict : from late antiquity to the Reformation /,,X001925938,STACKS,STACKS,BOOK,6/30/96,9/28/15,3,6,1,48,1
BM 000535 .E87  1984,BM535 .E87 1984,30508,ALDERMAN,1984,Evangelicals and Jews in an age of pluralism /,,X000886151,STACKS,STACKS,BOOK,6/28/96,10/13/08,0,0,2,6,1
BM 000535 .F26  2003,BM535 .F26 2003,3949742,ALDERMAN,2003,Faith transformed : Christian encounters with Jews and Judaism /,,X004706368,STACKS,CHECKEDOUT,BOOK,7/24/03,10/10/17,0,0,0,7,1
BM 000535 .F43  2001,BM535 .F43 2001,3802950,ALDERMAN,2001,Catholics and Jews in twentieth-century America /,"Feldman, Egal,",X004555616,STACKS,STACKS,BOOK,1/8/02,12/1/14,2,2,1,6,2
BM 000535 .F44  1990,BM535 .F44 1990,1779359,ALDERMAN,1990,Dual destinies : the Jewish encounter with Protestant America /,"Feldman, Egal,",X001859484,STACKS,STACKS,BOOK,6/30/96,8/29/16,2,1,0,10,1
BM 000535 .F56  1975,BM535 .F56 1975,485765,ALDERMAN,1975,Judaism in German Christian theology since 1945 : Christianity and Israel considered in terms of mission /,"Fleischner, Eva,",X000179916,STACKS,STACKS,BOOK,6/29/96,4/17/04,0,0,0,2,1
