"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","KeepOnGrounds"
"16085",3530982,"X004435176","PA6675 .S42 2000","ALDERMAN","Seneca in performance /","",2000,"5/4/00","5/14/17",1,2,6,1,"2",FALSE,0
"16086",14443,"X000824664","PA6675 .S613 1984","ALDERMAN","Seneca, the humanist at the court of Nero /","Sørensen, Villy,",1984,"6/28/96","8/3/15",2,0,24,1,"2",FALSE,0
"16087",6931939,"X031792942","PA6675 .S73 2017","ALDERMAN","Seneca /","Star, Christopher,",2017,"12/14/16","1/24/17",0,1,1,1,"2",FALSE,0
"16088",711498,"X001240281","PA6675 .S8 1986","ALDERMAN","Seneca on the stage /","Sutton, Dana Ferrin.",1986,"6/29/96","8/31/04",1,0,0,1,"2",FALSE,0
"16089",3581272,"X004532593","PA6675 .T67 2000","ALDERMAN","Il matrimonio del Sapiens : ricerche sul de matrimonio di Seneca /","Torre, Chiara.",2000,"11/13/00","1/1/00",0,0,0,1,"2",FALSE,0
"16090",1010625,"X002650250","PA6675 .T7 1971 v.1","ALDERMAN","Seneca im literarischen Urteil der Antike; Darstellung und Sammlung ser Zeugnisse.","Trillitzsch, Winfried.",1971,"6/29/96","12/28/16",2,2,0,2,"2",TRUE,0
"16091",4778461,"X030264064","PA6675 .T75 2007","ALDERMAN","Commento alle Phoenissae di Seneca /","Trivet, Nicholas,",2007,"9/29/08","11/3/08",0,0,0,1,"2",FALSE,0
"16092",1010626,"X031224826","PA6675 .T8 1967","ALDERMAN","Sénèque et les religions orientales.","Turcan, Robert,",1967,"8/28/12","5/11/14",0,1,3,1,"2",FALSE,0
"16093",3917891,"X004662523","PA6675 .V4913 2003","ALDERMAN","Seneca : the life of a stoic /","Veyne, Paul,",2003,"2/18/03","5/12/16",1,2,2,1,"2",TRUE,0
"16094",3821395,"X004617806","PA6675 .V5 2000","ALDERMAN","Il senso e il non senso del tempo in Seneca /","Viparelli Santangelo, Valeria.",2000,"3/12/02","5/12/16",0,1,5,1,"2",TRUE,0
