"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","KeepOnGrounds"
"15191",971828,"X002683478","DS889 .B9 1942","ALDERMAN","The Japanese enemy, his power and his vulnerability,","Byas, Hugh,",1942,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,0
"15192",1308790,"X001506665","DS889 .C28 1988","ALDERMAN","Crisis and compensation : public policy and political stability in Japan, 1949-1986 /","Calder, Kent E.",1988,"6/30/96","3/30/11",4,0,0,1,"2",FALSE,0
"15193",1871337,"X001859552","DS889 .C556 1990","ALDERMAN","Kokusaika Nihon no kabe : Ajia no j?shiki to Nihon no j?shiki /","Zhuo, Nansheng.",1990,"6/30/96","4/13/09",1,0,0,1,"2",FALSE,0
"15194",2886212,"X004266693","DS889 .D69 1999","ALDERMAN","Embracing defeat : Japan in the wake of World War II /","Dower, John W.",1999,"3/1/99","5/1/18",11,13,5,2,"2 3 21",FALSE,0
"15195",556375,"X000118056","DS889 .E44","ALDERMAN","Arms, yen & power; the Japanese dilemma","Emmerson, John K.",1971,"6/29/96","5/12/15",1,1,1,1,"2 3",FALSE,0
"15196",38251,"X000930264","DS889 .E63 1985","ALDERMAN","Japan's decisive decade : how a determined minority changed the nation's course in the 1950s /","Entwistle, Basil.",1985,"6/28/96","4/29/15",6,1,1,1,"2",FALSE,0
"15197",971830,"X000471573","DS889 .F54","ALDERMAN","La rentrée en scène du Japon; la politique japonaise face aux États-Unis depuis 1945.","Fistié, Pierre.",1972,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,0
"15198",4693749,"X030289889","DS889 .F7 1954","ALDERMAN","The dynamics of influence in today's Japan : report /","Free, Lloyd A.",1954,"2/29/08","3/6/08",1,0,0,1,"2",FALSE,0
"15199",2579,"X000872885","DS889 .F76","ALDERMAN","From politics to lifestyles : Japan in print, I /","",1984,"6/28/96","1/1/00",0,0,0,1,"2",FALSE,0
"15200",773118,"X001279112","DS889 .F761 1986","ALDERMAN","From politics to lifestyles : Japan in print, II /","",1986,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,0
"15201",1649002,"X001670042","DS889 .F762 1988","ALDERMAN","From politics to lifestyles : Japan in print, 1987 /","",1988,"6/30/96","1/1/00",0,0,0,1,"2",FALSE,0
"15202",971832,"X000093336","DS889 .G3 1948","ALDERMAN","Japan diary.","Gayn, Mark.",1948,"6/29/96","4/13/09",1,0,0,1,"2",FALSE,0
"15203",971835,"971835-1001","DS889 .G43","ALDERMAN","Gendaishi shiry?.","",1962,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,0
"15204",2361838,"X030806715","DS889 .G43 v.40","ALDERMAN","Masu media t?sei /","",1973,"7/1/96","2/1/11",0,0,0,2,"2",TRUE,0
"15205",3730112,"X004522757","DS889 .G64 2001","ALDERMAN","Japan's reluctant realism : foreign policy challenges in an era of uncertain power /","Green, Michael J.",2001,"6/26/01","10/9/12",1,1,0,1,"2",FALSE,0
"15206",471265,"X000418199","DS889 .G7 1942","ALDERMAN","Report from Tokyo; a message to the American people,","Grew, Joseph C. (Joseph Clark),",1942,"6/29/96","2/26/14",0,0,0,1,"2 14",FALSE,0
"15207",2516502,"X002718186","DS889 .H1986 1996","CLEMONS","Eastern phoenix : Japan since 1945 /","Hane, Mikiso.",1996,"7/1/96","9/22/09",2,0,0,1,"3 14",FALSE,0
"15208",4375299,"X030085652","DS889 .H236 1993","ALDERMAN","Nihon o dame ni shita kunin no seijika /","Hamada, K?ichi,",1993,"6/23/06","8/21/06",0,0,0,1,"2",FALSE,0
"15209",5223750,"X030810321","DS889 .H254 2010","ALDERMAN","Rekishi to kioku no k?s? : ""sengo Nihon"" no genzai /","Harootunian, Harry D.,",2010,"9/28/10","1/1/00",0,0,0,1,"2",FALSE,0
"15210",971837,"X000302078","DS889 .H3 1946","ALDERMAN","Japan's prospect.","Haring, Douglas G. (Douglas Gilbert),",1946,"6/29/96","1/1/00",0,0,0,4,"2",FALSE,0
