"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","MODEL","LiaisonRecommendation"
"12724",529387,"X000351216","PR4099 .B5 P3 1970","ALDERMAN","Paul the minstrel, and other stories,","Benson, Arthur Christopher,",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12725",528253,"X000015925","PR4193 .C6 1970","ALDERMAN","Elizabeth Barrett Browning; a portrait,","Clarke, Isabel Constance.",1970,"6/29/96","1/1/00",0,0,0,1,"2 3",FALSE,"0",0
"12726",1069745,"X001751775","PR4219 .Y4","ALDERMAN","Giuseppe Caponsacchi: ""a very reputable priest""?","Yetman, Michael G.",1970,"6/29/96","1/1/00",1,0,0,1,"2",FALSE,"0",0
"12727",528595,"X000015227","PR4331 .C7 1970","ALDERMAN","A primer of Burns.","Craigie, William A. (William Alexander),",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12728",1069918,"X000673033","PR4331 .F57","ALDERMAN","Robert Burns: the man and the poet; a round, unvarnished account","Fitzhugh, Robert Tyson,",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12729",1069921,"X000214182","PR4331 .K4 1970","ALDERMAN","Burns & his poetry,","Kellow, Henry Arthur,",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12730",1069928,"X000471382","PR4331 .S63 1970","ALDERMAN","Robert Burns; his personality, his reputation, and his art.","Snyder, Franklyn Bliss,",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12731",532759,"532759-2001","PR4349 .B7 A16 1970","ALDERMAN","Essays on life, art, and science.","Butler, Samuel,",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12732",1069376,"X000366285","PR4382 .G68","ALDERMAN","The uninhibited Byron; an account of his sexual confusion","Grebanier, Bernard D. N.,",1970,"6/29/96","1/1/00",2,0,0,1,"2",FALSE,"0",0
"12733",1070911,"X000889062","PR4437 .S6 R6 1970","ALDERMAN","The Social philosophy of Carlyle and Ruskin.","Roe, Frederick William,",1970,"6/29/96","1/1/00",0,0,0,1,"2",TRUE,"0",0
"12734",536797,"X000351409","PR4454 .C16 I5 1970","ALDERMAN","In a corner of Asia; being tales and impressions of men and things in the Malay Peninsula.","Clifford, Hugh Charles,",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12735",533796,"X000353808","PR4518 .C3 L68 1970","ALDERMAN","Love idylls.","Crockett, S. R. (Samuel Rutherford),",1970,"6/29/96","1/1/00",0,0,0,1,"2",TRUE,"0",0
"12736",532600,"X000993155","PR4549 .D5 Z5 1970 V.1","ALDERMAN","The reminiscences of Thomas Dibdin.","Dibdin, Thomas,",1970,"6/29/96","1/1/00",0,0,0,2,"2",TRUE,"0",0
"12737",1071177,"X032054056","PR4553 .S9","ALDERMAN","Charles Dickens, 1812-1870; an anthology","Dickens, Charles,",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12738",531971,"X000112816","PR4581 .E64 1970","ALDERMAN","Dickens and Thackeray.","Elton, Oliver,",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12739",1072579,"X000389795","PR4582 .F5 1970","ALDERMAN","Garish lights; the public reading tours of Charles Dickens.","Fitzsimons, Raymund.",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12740",1072589,"X000311585","PR4585 .V5 1970","ALDERMAN","Charles Dickens; an exhibition to commemorate the centenary of his death June-September 1970.","Victoria and Albert Museum.",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12741",731873,"X000179097","PR4623 .H25 1970","ALDERMAN","Sherlock Holmes : ten literary studies /","Hall, Trevor H.",1970,"6/29/96","1/1/00",1,0,0,1,"2",FALSE,"0",0
"12742",534456,"X000271957","PR4681 .J6","ALDERMAN","George Eliot,","Jones, R. T. (Robert Tudor)",1970,"6/29/96","1/1/00",1,0,0,1,"2 3",FALSE,"0",0
"12743",528620,"X000721095","PR4728 .G7 C4 1970","ALDERMAN","The Celtic temperament, and other essays.","Grierson, Francis,",1970,"6/29/96","1/1/00",1,0,0,1,"2",TRUE,"0",0
"12744",536229,"X000107774","PR4783 .A1 1970 v.1","ALDERMAN","The works of W. E. Henley.","Henley, William Ernest,",1970,"6/29/96","1/1/00",4,0,0,7,"2",TRUE,"0",0
"12745",1068688,"X001497873","PR4784 .F55","ALDERMAN","William Ernest Henley,","Flora, Joseph M.",1970,"6/29/96","1/1/00",1,0,0,1,"2",FALSE,"0",0
"12746",1071462,"X032039032","PR4791 .A4 1970","ALDERMAN","Selected poems [of] James Hogg;","Hogg, James,",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12747",1070924,"X000675352","PR4823 .S35 1970","ALDERMAN","Richard Jefferies; his life and ideals.","Salt, Henry S.,",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12748",531389,"X000971321","PR4876 .O5 1970","ALDERMAN","Old friends; essays in epistolary parody.","Lang, Andrew,",1970,"6/29/96","1/1/00",1,0,0,1,"2",FALSE,"0",0
"12749",1071801,"X000313098","PR4886 .L4 Z68","ALDERMAN","George Henry Lewes,","Hirshberg, Edgar W.",1970,"6/29/96","1/1/00",1,0,0,2,"2",FALSE,"0",0
"12750",537575,"X000369448","PR5159 .P5 1970 V.2","ALDERMAN","The poetical works of John Payne.","Payne, John,",1970,"6/29/96","1/1/00",0,0,0,2,"2",TRUE,"0",0
"12751",533791,"X000688181","PR5210 1970 V.3","ALDERMAN","The works of Charles Reade.","Reade, Charles,",1970,"6/29/96","1/1/00",1,0,0,1,"2",TRUE,"0",0
"12752",532270,"X000112907","PR5233 .R2 M7 1970","ALDERMAN","The life and times of Henry Crabb Robinson,","Morley, Edith Julia,",1970,"6/29/96","1/1/00",3,0,0,1,"2",FALSE,"0",0
"12753",1071778,"X000359989","PR5263 .D4","ALDERMAN","Facets of Ruskin: some sesquicentennial studies","Dearden, James S.",1970,"6/29/96","1/1/00",1,0,0,1,"2",FALSE,"0",0
"12754",1072102,"X004078396","PR5332 .M33","ALDERMAN","Sir Walter Scott: the man and patriot.","McLaren, Moray.",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12755",1072108,"X000208133","PR5333 .J4 1970","ALDERMAN","Scott's mind and art","Jeffares, A. Norman (Alexander Norman),",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
"12756",1073639,"X000755941","PR5340 .M3 1970","ALDERMAN","Scott and Goethe; German influence on the writings of Sir Walter Scott,","Macintosh, William.",1970,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,"0",0
