"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","MODEL","LiaisonRecommendation"
"8253",2927395,"X004354700","PL2461 .Z7 C57 1999","ALDERMAN","Zhongguo jing xue shi jiang yi /","Zhou, Yutong,",1999,"7/14/99","10/8/07",0,0,0,1,"2",TRUE,"0",0
"8254",5391020,"X031190028","PL2837 .E35 A6 1954b","ALDERMAN","Zhang Ailing duan pian xiao shuo ji.","Zhang, Ailing.",1968,"7/20/11","1/1/00",2,0,0,1,"2",FALSE,"0",0
"8255",4717898,"X030507760","PL2303 .E775 2006","ALDERMAN","Er shi shi ji Zhongguo wen xue qi kan yu si chao /","",2006,"5/9/08","1/1/00",2,0,0,2,"2",FALSE,"0",0
"8256",691850,"X001039221","PL3031 .T32 T3278","ALDERMAN","Taiwan xiao shuo xuan /","",1979,"6/29/96","8/26/11",0,0,0,1,"2",TRUE,"0",0
"8257",4801959,"X030558179","PL2456 .C45 1999 v.1","ALDERMAN","Jia gu wen he ji cai liao lai yuan biao /","",1999,"12/9/08","1/1/00",0,0,0,3,"2",TRUE,"0",0
"8258",2927402,"X004354696","PL2412 .Y44 1999","ALDERMAN","Wen zhang li hua /","Ye, Shengtao,",1999,"7/14/99","10/4/07",0,0,0,1,"2",FALSE,"0",0
"8259",1729871,"X001785776","PL2478 .L5 1983","ALDERMAN","The analects (Lun yü) /","Confucius.",1983,"6/30/96","5/13/11",3,0,0,1,"2",FALSE,"0",0
"8260",1817996,"X001859921","PL2781 .N2 Z5 1990","ALDERMAN","Lin Yutang zhuan /","Lin, Tai-yi,",1989,"6/30/96","12/9/10",1,0,0,1,"2",FALSE,"0",0
"8261",1808669,"X001859983","PL2833 .A68 C48 1989","ALDERMAN","Chun feng bu shi zi /","Asheng,",1989,"6/30/96","12/9/10",0,0,0,1,"2",TRUE,"0",0
"8262",3978091,"X004707707","PL1128 .X53 2003","ALDERMAN","Xiàoyuán Hàny? : speaking Chinese on campus : a textbook for intermediate Chinese courses /","",2003,"10/29/03","12/4/03",0,0,0,1,"2",FALSE,"0",0
"8263",2504254,"X004101207","PL2843 .P5 J8 1996","ALDERMAN","Ru yu tang /","Jia, Pingwa.",1996,"7/1/96","6/13/10",0,0,0,1,"2",FALSE,"0",0
"8264",2796200,"X004241503","PL1497 .C439 1989","ALDERMAN","Zeng bian cheng yu dian /","",1989,"5/19/98","5/18/09",2,0,0,1,"2",FALSE,"0",0
