"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"21","PZ 000010 .L95  OU 1957","PZ10 .L95 Ou 1957",1113542,"ALDERMAN",1957,"Our sun and the worlds around it; planets, moons, comets, and other wonders of the solar system.","Lyon, Jene.","1113542-1001","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.0653739449939656,0.907042410950973,-0.500087504335861,-0.253047131285017,1.74354295844477,-0.465769578583774,0.343704845050754,0.580490399384871,0.0385662981841646,2821,0.961433701815835,"0",0,0,0,"0",1,FALSE
"22","PZ 000010 .P57  WAT 1959","PZ10 .P57 Wat 1959",1113552,"ALDERMAN",1959,"Water all around,","Pine, Tillie S.","1113552-1001","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.0536085934553555,0.907042410950973,-0.500087504335861,-0.253047131285017,1.74354295844477,-0.465769578583774,0.344862414283902,0.452542433980852,0.0390049211276601,2818,0.96099507887234,"0",0,0,0,"0",1,FALSE
"23","PZ 000010 .S396  RE 1959","PZ10 .S396 Re 1959",1113557,"ALDERMAN",1959,"The rescuers.","Sharp, Margery,","X032029150","STACKS","STACKS","BOOK","2/14/18","1/1/00",0,0,0,0,1,7079,0,0,0.0536085934553555,-1.85166151763445,-0.500087504335861,-0.253047131285017,1.74354295844477,-0.465769578583774,0.0992167808905391,0.208635085495189,0.39041275889626,1624,0.60958724110374,"1",0,0,0,"1",1,TRUE
"24","PZ 000010 .U4  TR 1956","PZ10 .U4 Tr 1956",1113562,"ALDERMAN",1956,"A tree is nice.","Udry, Janice May.","X000918535","STACKS","STACKS","BOOK","6/29/96","7/3/08",0,0,1,8,1,3973,8,0.000956937799043062,0.0712566207632706,0.907042410950973,0.218841711299112,-0.253047131285017,0.422632557995781,-0.178774511582904,0.487078605574907,0.0332438990008086,0.234676638622406,2082,0.765323361377594,"0",1,8,0,"0",1,TRUE
"25","PZ 000010.3 .A48  SAL 1940","PZ10.3 .A48 Sal 1940",1113583,"ALDERMAN",1940,"Salute;","Anderson, C. W. (Clarence William),","X000917987","STACKS","STACKS","BOOK","6/29/96","7/3/08",0,0,0,0,1,3973,0,0,0.165379433072152,0.907042410950973,-0.500087504335861,-0.253047131285017,0.422632557995781,-0.465769578583774,0.612493888003297,0.497815887443721,0.11971393503455,2654,0.88028606496545,"0",0,0,0,"0",1,FALSE
"26","PZ 000010.3 .A86923  SL 2010","PZ10.3 .A86923 Sl 2010",5312565,"CLEMONS",2010,"Slow down for manatees /","Arnosky, Jim.","X030611941","ED-JUV","ED-JUV","JUV-BOOK","3/23/11","11/30/11",0,0,1,1,1,2728,1,0.000335570469798658,-0.246407870779202,-0.971669884718591,-0.41022135238149,-0.253047131285017,-0.106837322415998,-0.365128690994543,0.49085791205342,0.913993815192953,0.71395968312044,1157,0.28604031687956,"1",1,1,0,"1",1,FALSE
"27","PZ 000010.3 .A89  MI 1952","PZ10.3 .A89 Mi 1952",1616711,"ALDERMAN",1952,"Mr. Popper's penguins /","Atwater, Richard.","X000386840","STACKS","STACKS","BOOK","6/30/96","4/20/18",2,3,1,7,1,395,4,0.000837420744108147,0.0947873238404909,0.906693207922039,-0.140622896518375,0.171305086881881,-1.09900859229606,-0.214618853005193,0.822856200555002,0.350378775037825,0.489227958073694,1408,0.510772041926306,"1",1,4,3,"1",1,FALSE
"28","PZ 000010.3 .A92  AN 1940","PZ10.3 .A92 An 1940",1113572,"ALDERMAN",1940,"Animals everywhere,","D'Aulaire, Ingri,","X001474415","STACKS","STACKS","BOOK","6/29/96","7/3/08",0,0,1,0,1,3973,0,0,0.165379433072152,0.907042410950973,-0.500087504335861,-0.253047131285017,0.422632557995781,-0.465769578583774,0.612493888003297,0.782970898551866,0.11971393503455,2654,0.88028606496545,"0",1,0,0,"0",1,TRUE
"29","PZ 000010.3 .B123  JO","PZ10.3 .B123 JO",532484,"ALDERMAN",1970,"Jonathan Livingston Seagull.","Bach, Richard.","X000461275","STACKS","STACKS","BOOK","6/29/96","9/22/14",2,0,2,25,2,1701,25,0.00299043062200957,-0.0111008400070002,0.907042410950973,1.74656629452343,-0.253047131285017,-0.543596814129168,0.431090005793944,0.414410488784062,0.627713081426919,0.801265332473877,946,0.198734667526123,"1",2,25,0,"1",1,FALSE
"30","PZ 000010.3 .B21  TI","PZ10.3 .B21 Ti",1113576,"ALDERMAN",1930,"Timothy Crunchit the calico bunny,","Ball, Martha Jane.","X001839611","STACKS","STACKS","BOOK","6/29/96","7/3/08",0,0,0,4,1,3973,4,0.000478468899521531,0.224206190765202,0.907042410950973,-0.140622896518375,-0.253047131285017,0.422632557995781,-0.322272045083339,0.539146380537439,0.452506012050435,0.155184430838791,2384,0.844815569161209,"0",0,4,0,"0",1,TRUE
