"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"841","PF 003395 .A36  1987","PF3395 .A36 1987",1260257,"ALDERMAN",1987,"Die Entwicklung des Satzbaus der deutschen Literatursprache im 19. und 20. Jahrhundert /","Admoni, V. G. (Vladimir Grigor?evich),","X001396365","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,0,0,1,7079,0,0,-0.307537537501891,0.506399515356387,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.389025864325229,0.255932533880696,0.229366553784003,1114,0.770633446215997,"0",0,0,0,"0",1,FALSE
"842","PF 003395 .B87  1982","PF3395 .B87 1982",648232,"ALDERMAN",1982,"Handbuch der Phraseologie /","Burger, Harald.","X000402389","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,2,7079,0,0,-0.233690335175337,0.506780718023215,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.377256863469683,0.607702363980934,0.216510291607448,1144,0.783489708392552,"0",0,0,0,"0",1,FALSE
"843","PF 003395 .F56","PF3395 .F56",143364,"ALDERMAN",1982,"Phraseologie der deutschen Gegenwartssprache /","Fleischer, Wolfgang.","X000351884","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,2,7079,0,0,-0.233690335175337,0.507161920690042,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.377188032733592,0.930877601960674,0.21644563382053,1145,0.783554366179469,"0",0,0,0,"0",1,FALSE
"844","PF 003395 .G34  2017","PF3395 .G34 2017",7217957,"ALDERMAN",2017,"Frühneuhochdeutsche Konnektoren : Entwicklungslinien kausaler Verknüpfungen auf dem Gebiet der Modalität /","Gagel, Sebastian,","X031815497","STACKS","STACKS","BOOK","8/7/17","1/1/00",0,0,0,0,1,7079,0,0,-0.750620751461215,-2.43191064055255,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.891290379044309,0.209666358307004,0.897477147361104,185,0.102522852638896,"1",0,0,0,"1",1,FALSE
"845","PF 003395 .H28  1977","PF3395 .H28 1977",263201,"ALDERMAN",1977,"Die Negation /","Helbig, Gerhard.","X000600148","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,-0.159843132848783,0.507161920690042,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.365630834975649,0.348440031753853,0.204183708580304,1177,0.795816291419696,"0",0,0,0,"0",1,FALSE
"846","PF 003395 .S2","PF3395 .S2",328733,"ALDERMAN",1977,"Die Wahrheitstheorie der deskriptiven Sätze /","Saarnio, Uuno,","X000714154","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,-0.159843132848783,0.507161920690042,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.365630834975649,0.67884273105301,0.204183708580304,1177,0.795816291419696,"0",0,0,0,"0",1,FALSE
"847","PF 003395 .S4  1979","PF3395 .S4 1979",211681,"ALDERMAN",1979,"Die Verwendungsmöglichkeiten von Negationszeichen in Dialogen : e. dialoggrammat. Ansatz mit empir. Überprüfung an Texten gesprochener dt. Standardsprache /","Sennekamp, Marita.","X032308998","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,-0.189382013779405,0.507161920690042,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.370236009532063,0.903425266034901,0.209025517813611,1166,0.790974482186389,"0",0,0,0,"0",1,FALSE
"848","PF 003395 .S43  1993","PF3395 .S43 1993",2272303,"ALDERMAN",1993,"Die unpersönlichen Ausdrucksweisen im Deutschen und im Arabischen : eine funktional-semantische Betrachtung der agensabgewandten Konstruktionen in beiden Sprachen /","Selmy, El-Sayed Madbouly.","X002437490","STACKS","STACKS","BOOK","7/1/96","11/9/09",0,0,0,1,1,3479,1,0.000119645848289064,-0.396154180293756,0.506018312689559,-0.206509551960418,-0.109541766723116,-0.849644206395751,-0.224510408740491,0.443698586969068,0.189387535443529,0.630245585739349,596,0.369754414260651,"0",0,1,0,"0",1,FALSE
"849","PF 003395 .Z4","PF3395 .Z4",1016864,"ALDERMAN",1972,"Satz, Wort, Rede; semantische Strukturen des deutschen Satzes","Zemb, Jean-Marie","X002312984","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,1,1,1,7079,1,0.000119617224880383,-0.0859959305222292,0.506780718023215,-0.206509551960418,-0.109541766723116,0.721055519337729,-0.224526741698463,0.369311690067829,0.823563851416111,0.206140280633025,1173,0.793859719366975,"0",1,1,0,"0",1,FALSE
"850","PF 003398 .P66  A35  2018","PF3398 .P66 A35 2018",7748602,"ALDERMAN",2018,"Grammatik der Namen im Wandel : Diachrone Morphosyntax der Personennamen im Deutschen /","Ackermann, Tanja,","X032211903","STACKS","STACKS","BOOK","10/5/18","1/1/00",0,0,0,0,1,7079,0,0,-0.765390191926526,-2.59354057128755,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.903620739846007,0.382382467156276,0.912607889384978,162,0.0873921106150217,"1",0,0,0,"1",1,FALSE
"851","PF 003410 .A3  1974","PF3410 .A3 1974",501096,"ALDERMAN",1974,"Über den deutschen Styl /","Adelung, Johann Christoph,","X000086543","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,-0.115534811452851,0.506780718023215,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.358836525297564,0.168982391245663,0.197138551607525,1197,0.802861448392475,"0",0,0,0,"0",1,FALSE
