"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"22","PE 000001 .C66  N.S. V.000012-000014","PE1 .C66 n.s. v.12-14",237808,"ALDERMAN",1978,"Invisible man's literary heritage : Benito Cereno and Moby Dick /","Gray, Valerie Bonita.","X000754623","STACKS","STACKS","BOOK","6/28/96","2/8/18",0,0,0,8,1,466,8,0.000956823346489654,-0.131431267322185,0.567795827322887,0.0682670556500429,-0.219173203999182,-1.39856921994238,-0.121284262113656,0.76795069569993,0.660041271010414,0.737007337519124,1652,0.262992662480876,"0",0,8,0,"0",1,TRUE
"23","PE 000001 .C66  N.S. V.120","PE1 .C66 n.s. v.120",2930560,"ALDERMAN",1999,"The medieval chronicle : proceedings of the 1st International Conference on the Medieval Chronicle /","International Conference on the Medieval Chronicle","X006027600","STACKS","STACKS","BOOK","7/23/99","5/12/15",1,7,6,21,1,1469,14,0.00290015191271924,-0.415236496594498,0.0745209540104485,0.493372266729792,1.09609552073308,-1.01442514551502,0.616984409529185,0.661458469616779,0.833140667527914,0.863952412298702,1119,0.136047587701298,"1",6,14,7,"1",1,TRUE
"24","PE 000001 .C66  N.S. V.121","PE1 .C66 n.s. v.121",2946517,"ALDERMAN",1999,"A structural analysis of The Honorary Consul by Graham Greene /","Dalm, Rudolf E. van,","X006003565","STACKS","STACKS","BOOK","9/20/99","10/7/02",0,0,0,4,1,6069,4,0.000556947925368978,-0.415236496594498,0.0485359383627396,-0.215136418403123,-0.219173203999182,0.747352264620424,-0.273196553788633,0.519763862981344,0.879676343640313,0.355307894543063,3021,0.644692105456937,"0",0,4,0,"0",1,TRUE
"25","PE 000001 .C66  N.S. V.122","PE1 .C66 n.s. v.122",2947102,"ALDERMAN",1999,"The united stories of America : studies in the short story composite /","Lundén, Rolf.","X006003566","STACKS","STACKS","BOOK","9/21/99","5/16/18",0,0,0,3,1,369,3,0.000417769112936917,-0.415236496594498,0.0480955143687107,-0.285987286916415,-0.219173203999182,-1.43571974359089,-0.326070452089013,0.73504393222664,0.740669090533629,0.820077617085905,1304,0.179922382914095,"1",0,3,0,"1",1,TRUE
"26","PE 000001 .C66  N.S. V.123","PE1 .C66 n.s. v.123",3518787,"ALDERMAN",2000,"Theme parks, rainforests and sprouting wastelands : European essays on theory and performance in contemporary British fiction /","","X006116059","STACKS","STACKS","BOOK","3/24/00","11/27/18",0,0,2,10,1,174,10,0.00142938822184105,-0.428751031321751,-0.0333829245266475,0.209968792676626,-0.219173203999182,-1.51040378597706,0.0582426840000591,0.702754783068869,0.641346800606698,0.898667555809499,947,0.101332444190501,"1",2,10,0,"1",1,TRUE
"27","PE 000001 .C66  N.S. V.124","PE1 .C66 n.s. v.124",3550713,"ALDERMAN",2000,"Poetry and the sense of panic : critical essays on Elizabeth Bishop and John Ashbery /","","X006119482","STACKS","STACKS","BOOK","7/18/00","1/15/16",1,2,6,32,1,1221,30,0.00465116279069767,-0.428751031321751,-0.0844721078340073,1.62698616294246,0.156617860210036,-1.10940792762667,1.28219177455311,0.570825364941675,0.305234867846593,0.962659355909307,479,0.037340644090693,"1",6,30,2,"1",1,TRUE
"28","PE 000001 .C66  N.S. V.125","PE1 .C66 n.s. v.125",3568664,"ALDERMAN",2000,"Fire & fiction : Augusta Jane Evans in context /","Riepma, Anna Sophia Roelina,","X006119800","STACKS","STACKS","BOOK","9/26/00","5/14/12",0,2,1,12,1,2562,10,0.00176211453744493,-0.428751031321751,-0.115301787416035,0.209968792676626,0.156617860210036,-0.595811513063273,0.184645094436543,0.598008586574955,0.737242063274607,0.794102344754317,1405,0.205897655245683,"1",1,10,2,"1",1,TRUE
"29","PE 000001 .C66  N.S. V.126","PE1 .C66 n.s. v.126",3568665,"ALDERMAN",2000,"The fantastic anatomist : a psychoanalytic study of Henry James /","Bailie, Ronnie,","X006119799","STACKS","STACKS","BOOK","9/26/00","10/2/00",0,0,0,1,1,6804,1,0.000146842878120411,-0.428751031321751,-0.115301787416035,-0.427689023942998,-0.219173203999182,1.02885365515294,-0.428995070687733,0.467740237290812,0.554997483501211,0.286490605134972,3356,0.713509394865028,"0",0,1,0,"0",1,TRUE
"30","PE 000001 .C66  N.S. V.127","PE1 .C66 n.s. v.127",3690554,"ALDERMAN",2000,"Alison Lurie : a critical study /","Newman, Judie.","X006110948","STACKS","STACKS","BOOK","2/13/01","3/8/01",0,0,1,2,1,6647,2,0.000299850074962519,-0.428751031321751,-0.17696114658009,-0.356838155429707,-0.219173203999182,0.968723426154834,-0.370867782319003,0.455350731090059,0.540190522558987,0.327426146130004,3177,0.672573853869996,"0",1,2,0,"0",1,TRUE
"31","PE 000001 .C66  N.S. V.128","PE1 .C66 n.s. v.128",3587541,"ALDERMAN",2000,"Women's movement : escape as transgression in North American feminist fiction /","Macpherson, Heidi Slettedahl.","X006011627","STACKS","STACKS","BOOK","12/5/00","2/9/02",0,0,0,2,1,6309,2,0.00029673590504451,-0.428751031321751,-0.146131466998062,-0.356838155429707,-0.219173203999182,0.839271086018795,-0.372050852505173,0.476119382355316,0.706709885271266,0.349502499294041,3051,0.650497500705959,"0",0,2,0,"0",1,TRUE
"32","PE 000001 .C66  N.S. V.129","PE1 .C66 n.s. v.129",3703513,"ALDERMAN",2000,"Under English eyes : constructions of Europe in early twentieth-century British fiction /","Nyman, Jopi,","X006111066","STACKS","STACKS","BOOK","3/26/01","4/4/01",0,0,0,1,1,6620,1,0.000150852315583044,-0.428751031321751,-0.195018530335277,-0.427689023942998,-0.219173203999182,0.958382558747517,-0.427471889213941,0.456706399806643,0.744144631084055,0.318146681316654,3225,0.681853318683346,"0",0,1,0,"0",1,TRUE
"33","PE 000001 .C66  N.S. V.130","PE1 .C66 n.s. v.130",3710832,"ALDERMAN",2000,"Radicalizing Lawrence : critical interventions in the reading and reception of D.H. Lawrence's narrative fiction /","Burden, Robert.","X006111363","STACKS","STACKS","BOOK","4/18/01","4/25/01",0,0,0,2,1,6599,2,0.000302755071147442,-0.428751031321751,-0.205148282197943,-0.356838155429707,-0.219173203999182,0.95033966187516,-0.369764177034833,0.450776159241431,0.23051824234426,0.337763118106691,3122,0.662236881893309,"0",0,2,0,"0",1,TRUE
"34","PE 000001 .C66  N.S. V.132  V.1","PE1 .C66 n.s. v.132 v.1",3717370,"ALDERMAN",2000,"A thesaurus of old English : in two volumes /","Roberts, Jane.","X004521971","STACKS","STACKS","BOOK","5/11/01","5/2/18",1,5,0,8,1,383,3,0.00121525140513444,-0.428751031321751,-0.215278034060609,-0.285987286916415,0.720304456523863,-1.43035781234265,-0.0231076887403283,0.686227720472781,0.113053573761135,0.856730949575141,1144,0.143269050424859,"1",0,4,10,"1",3,TRUE
"35","PE 000001 .C66  N.S. V.132  V.2","PE1 .C66 n.s. v.132 v.2",3717370,"ALDERMAN",2000,"A thesaurus of old English : in two volumes /","Roberts, Jane.","X004521972","STACKS","STACKS","BOOK","5/14/01","1/1/00",0,0,0,0,1,7079,0,0,-0.428751031321751,-0.216599306042696,-0.49853989245629,-0.219173203999182,1.1341773046719,-0.484780540244486,0.437777065094975,0.842818463221192,0.271432485770061,3433,0.728567514229939,"0",0,4,10,"1",3,TRUE
"36","PE 000001 .C66  N.S. V.132  V.2","PE1 .C66 n.s. v.132 v.2",3717370,"ALDERMAN",2000,"A thesaurus of old English : in two volumes /","Roberts, Jane.","X004655211","STACKS","STACKS","BOOK","12/20/02","5/2/18",1,5,0,6,1,383,1,0.00100083402835696,-0.428751031321751,-0.47424734254964,-0.427689023942998,0.720304456523863,-1.43035781234265,-0.104564645984452,0.640436205967295,0.543894470436499,0.870531593087064,1087,0.129468406912936,"1",0,4,10,"1",3,TRUE
"37","PE 000001 .C66  N.S. V.133","PE1 .C66 n.s. v.133",3717709,"ALDERMAN",2001,"Lexis and texts in early English : studies presented to Jane Roberts /","","X006112961","STACKS","STACKS","BOOK","5/14/01","8/5/05",0,0,3,13,1,5036,13,0.00197568389057751,-0.442265566049004,-0.216599306042696,0.422521398216501,-0.219173203999182,0.351718337518269,0.265779888305558,0.46452217269663,0.976898124674335,0.67473239848933,1879,0.32526760151067,"0",3,13,0,"0",1,TRUE
"38","PE 000001 .C66  N.S. V.134","PE1 .C66 n.s. v.134",3736664,"ALDERMAN",2001,"Paradigms found : feminist, gay, and new historicist readings of Shakespeare /","Hidalgo, Pilar.","X006136867","STACKS","STACKS","BOOK","7/23/01","11/10/01",0,0,0,2,1,6400,2,0.000307219662058372,-0.442265566049004,-0.247428985624724,-0.356838155429707,-0.219173203999182,0.874123639132344,-0.368068083199483,0.451399731870581,0.263097546529025,0.367892838543398,2978,0.632107161456602,"0",0,2,0,"0",1,TRUE
"39","PE 000001 .C66  N.S. V.135","PE1 .C66 n.s. v.135",3736670,"ALDERMAN",2001,"Re-writing pioneer women in Anglo-Canadian literature /","Steenman-Marcusse, Cornelia Janneke,","X006120405","STACKS","STACKS","BOOK","7/23/01","7/27/01",0,0,0,1,2,6506,1,0.000153609831029186,-0.442265566049004,-0.247428985624724,-0.427689023942998,-0.219173203999182,0.914721118583291,-0.426424311721984,0.451578103593774,0.630369078367949,0.342377846320436,3097,0.657622153679564,"0",0,1,0,"0",1,TRUE
"40","PE 000001 .C66  N.S. V.136","PE1 .C66 n.s. v.136",3770394,"ALDERMAN",2001,"The conning of America : the Great War and American popular literature /","Quinn, Patrick J.,","X006110940","STACKS","STACKS","BOOK","8/20/01","10/29/02",0,0,0,2,1,6047,2,0.000308546744831842,-0.442265566049004,-0.259760857457535,-0.356838155429707,-0.219173203999182,0.738926372658906,-0.367563925717647,0.462747315502391,0.526881447760388,0.402817752934133,2844,0.597182247065867,"0",0,2,0,"0",1,TRUE
