Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
V  000053 .S66  2001,V53 .S66 2001,3718643,ALDERMAN,2001,"At war, at sea : sailors and naval warfare in the twentieth century /","Spector, Ronald H.,",X004527655,STACKS,STACKS,BOOK,5/23/01,4/21/08,0,0,0,21,1
V  000055 .N6  T86  1989B,V55 .N6 T86 1989b,1613323,ALDERMAN,1989,Cold water politics : the maritime strategy and geopolitics of the northern front /,"Tunander, Ola,",X001639745,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,1,3,1
V  000055 .S64  G45,V55 .S64 G45,127754,ALDERMAN,1980,Vydai?ushchi?si?a pami?atnik istorii pomorskogo moreplavanii?a XVIII stoletii?a /,"Gemp, Ksenii?a.",X000481753,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
V  000055 .S65  H47  1989,V55 .S65 H47 1989,1604319,ALDERMAN,1989,Soviet naval theory and policy : Gorshkov's inheritance /,"Herrick, Robert Waring.",X001607039,STACKS,STACKS,BOOK,6/30/96,8/1/08,0,0,0,7,1
V  000055 .U55  W45  2001,V55 .U55 W45 2001,3731627,ALDERMAN,2001,"An ocean in common : American naval officers, scientists, and the ocean environment /","Weir, Gary E.",X004522221,STACKS,STACKS,BOOK,7/3/01,11/17/11,0,0,1,5,1
V  000565 .V47  1991,V565 .V47 1991,1935940,ALDERMAN,1991,Marine et éducation sous l'Ancien Régime /,"Vergé-Franceschi, Michel.",X002075384,STACKS,STACKS,BOOK,6/30/96,8/11/00,0,0,0,2,1
V  000574 .M37  A56  1988,V574 .M37 A56 1988,1652021,ALDERMAN,1989,Marineschule Mürwik /,,X001665882,STACKS,STACKS,BOOK,6/30/96,8/1/08,0,0,0,0,1
V  000594 .C5  T4513,V594 .C5 T4513,198322,ALDERMAN,1980,Tall ship to America : log of the Christian Radich /,"Thorsen, Kjell.",X000086416,STACKS,STACKS,BOOK,6/28/96,8/1/08,0,0,0,0,1
V  000600 .V6413,V600 .V6413,240024,ALDERMAN,1978,Man and sea warfare : (the training of Soviet navy personnel) /,,X000079239,STACKS,STACKS,BOOK,6/28/96,8/1/08,0,0,0,0,1
V  000061 .A3  1880,V61 .A3 1880,1263034,ALDERMAN,1880,Farragut and other great commanders : a series of naval biographies /,"Adams, W. H. Davenport (William Henry Davenport),",X001930809,STACKS,STACKS,BOOK,6/30/96,8/1/08,0,0,0,1,1
