Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items,Item Legacy Total Charges
2785619,2,ALDERMAN,STACKS,PA4037 .S4137 1996,1996,Der anonyme Publikumskommentar in Ilias und Odyssee /,"Schneider, Horst.",X004083861,BOOK,4/13/98,1/1/00,STACKS,0,0,0,1,0
191707,2,ALDERMAN,STACKS,PA4037 .S415 1978,1978,Geschichte der deutschen Homer-Übersetzung im 18. Jahrhundert /,"Schroeter, Adalbert,",X000013919,BOOK,6/28/96,10/20/09,STACKS,0,0,0,1,0
4751809,2,ALDERMAN,STACKS,PA4037 .S416 2005,2005,La tradizione degli scholia iliadici in Terra d'Otranto /,"Sciarra, Elisabetta.",X030456454,BOOK,8/6/08,1/1/00,STACKS,0,0,1,1,0
4856419,2,ALDERMAN,STACKS,PA4037 .S4163 2008,2008,self-presentation and social interaction in Homer / Epic facework :,"Scodel, Ruth.",X030466643,BOOK,3/27/09,2/14/17,CHECKEDOUT,3,3,0,1,11
3910167,2,ALDERMAN,STACKS,PA4037 .S4164 2002,2002,"Listening to Homer : tradition, narrative, and audience /","Scodel, Ruth.",X004660725,BOOK,1/14/03,5/14/16,STACKS,2,4,3,1,19
997609,2,ALDERMAN,STACKS,PA4037 .S417 1925,1925,"Homer and his influence,","Scott, John Adams,",X001119539,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
556399,2,ALDERMAN,STACKS,PA4037 .S418,1921,The unity of Homer.,"Scott, John Adams,",X000592381,BOOK,6/29/96,10/11/00,STACKS,0,0,0,1,2
543097,2 3,ALDERMAN,STACKS,PA4037 .S418 1965,1965,The unity of Homer.,"Scott, John Adams,",X000115327,BOOK,6/29/96,4/24/06,STACKS,0,0,0,1,4
543097,2 3,CLEMONS,BY-REQUEST,PA4037 .S418 1965,1965,The unity of Homer.,"Scott, John Adams,",X000115328,BOOK,6/29/96,4/28/13,BY-REQUEST,1,0,1,1,9
997610,2,ALDERMAN,STACKS,PA4037 .S419,1972,"The theme of the mutilation of the corpse in the Iliad,","Segal, Charles,",X000492325,BOOK,6/29/96,10/28/15,STACKS,1,0,0,1,36
