Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items,Item Legacy Total Charges
2449400,2,ALDERMAN,STACKS,DC801 .V38147 B4725 1995,1995,"Moi, Léon Berland, vigneron de Touraine : Veigné, village tourangeau dans la seconde moitié du XIXe siècle : d'après les Mémoires de Léon Berland /","Berland, Léon,",X004062518,BOOK,7/1/96,1/11/11,STACKS,0,0,0,1,1
278946,2,ALDERMAN,STACKS,DC801 .V385 C3,1978,Une cité provençale dans la Révolution : chronique de la ville de Vence en 1790 /,"Castellan, Georges.",X000151318,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
277619,2 14,ALDERMAN,STACKS,DC801 .V385 P4 1945,1945,Immortal village.,"Peattie, Donald Culross,",X000958122,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
75905,2,ALDERMAN,STACKS,DC801 .V4 H56 1984,1984,Histoire de Vendôme et du Vendômois /,,X000906345,BOOK,6/28/96,1/1/00,STACKS,0,0,1,1,0
48344,2,ALDERMAN,STACKS,DC801 .V42 V53 1983,1983,"1921-1931, une banlieue à travers le miroir de l'informatique / Vénissieux de A à V :","Videlier, Philippe.",X000959044,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
642955,2,ALDERMAN,STACKS,DC801 .V45 H57 1982,1982,Histoire de Verdun /,,X000354534,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
945548,2,ALDERMAN,STACKS,DC801 .V55 D8 1970,1970,Versailles.,"Dunlop, Ian,",X000422665,BOOK,6/29/96,6/3/16,STACKS,1,3,5,1,20
5698199,2,ALDERMAN,STACKS,DC801 .V56 B3513 2012,2012,Versailles /,"Bajou-Charpentreau, Valérie.",X031229592,BOOK,6/6/12,9/24/13,STACKS,1,21,0,1,22
1301471,2,ALDERMAN,STACKS,DC801 .V56 D3 1939,1939,"A day at Versailles : illustrated guide to the palace, museum, park and the Trianons.",,X000440180,BOOK,6/30/96,1/12/09,STACKS,0,0,2,1,7
945549,2,ALDERMAN,STACKS,DC801 .V56 K43 1958,1958,Versailles and the Trianons /,"Kemp, Gérald van der,",X000303038,BOOK,6/29/96,3/14/09,STACKS,0,0,2,1,14
71450,2,ALDERMAN,STACKS,DC801 .V56 L6 1868,1868,"de ses rues, places et avenues depuis l'origine de cette ville jusqu'à nos jours. Histoire de Versailles,","(Joseph-Adrien), Le Roi, J.-A.",X000618719,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
71450,2,ALDERMAN,STACKS,DC801 .V56 L6 1868 v.1,1868,"de ses rues, places et avenues depuis l'origine de cette ville jusqu'à nos jours. Histoire de Versailles,","(Joseph-Adrien), Le Roi, J.-A.",X001056247,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
3680659,2 4,ALDERMAN,STACKS,DC801 .V56 M37 2000,2000,"Versailles, le roi et son domaine /","Maroteaux, Vincent.",X004548120,BOOK,1/12/01,4/30/05,STACKS,0,0,1,1,2
7454858,2,ALDERMAN,STACKS,DC801 .V56 M387 1949,1949,"Versailles, l'histoire et l'art; guide officiel. Le château, les jardins, le parc, les trianons, le musée des voitures, le jeu de paume.","Mauricheau-Beaupré, Charles,",X032058196,BOOK,3/28/18,5/7/18,CHECKEDOUT,2,0,0,1,2
3704383,2,ALDERMAN,STACKS,DC801 .V56 N48 2000,2000,"L'espace du roi : la Cour de France au Château de Versailles, 1682-1789 /","Newton, William Ritchey,",X004521460,BOOK,3/29/01,3/24/09,STACKS,0,0,0,1,1
218949,2,ALDERMAN,STACKS,DC801 .V56 S4 1979,1979,La promenade de Versailles /,"Scudéry, Madeleine de,",X000073032,BOOK,6/28/96,6/12/15,STACKS,1,0,1,1,13
945550,2,ALDERMAN,STACKS,DC801 .V57 B35,1973,Histoire de Versailles.,"Benoist, Luc,",X001056198,BOOK,6/29/96,1/12/09,STACKS,0,0,0,1,3
55994,2,ALDERMAN,STACKS,DC801 .V57 B4 1891,1891,How to spend a day in Versailles...,,X000530868,BOOK,6/28/96,2/6/02,STACKS,0,0,1,1,8
73788,2,ALDERMAN,STACKS,DC801 .V57 C64 1985 v.1,1985,communications des auteurs á distribuer exclusivament aux participants. Colloque Versailles du 29 septembre au 4 octobre 1985 :,Colloque Versailles,X000960749,BOOK,6/28/96,1/11/11,STACKS,0,0,0,1,4
73788,2,ALDERMAN,STACKS,DC801 .V57 C64 1985 v.2,1985,communications des auteurs á distribuer exclusivament aux participants. Colloque Versailles du 29 septembre au 4 octobre 1985 :,Colloque Versailles,X000960788,BOOK,6/28/96,1/12/09,STACKS,0,0,0,1,3
4688175,2,ALDERMAN,STACKS,DC801 .V57 G65 2008,2008,"the appropriations, erasures, and accidents that made modern France / Vaux and Versailles :","Goldstein, Claire.",X030252290,BOOK,2/12/08,5/4/16,STACKS,1,0,1,1,4
4355820,2,ALDERMAN,STACKS,DC801 .V57 H56 2005,2005,"Saint Simon, Versailles, les arts de cour /","Himelfarb, Hélène.",X030121556,BOOK,3/20/06,3/22/10,STACKS,0,0,0,1,1
4793276,2 3,ALDERMAN,STACKS,DC801 .V57 S67 2008,2008,Versailles : a biography of a palace /,"Spawforth, Antony.",X030472137,BOOK,11/18/08,3/14/09,STACKS,0,0,1,1,2
7512826,2,ALDERMAN,STACKS,DC801 .V57 V57 2018,2018,Visitors to Versailles : from Louis XIV to the French Revolution /,,X031823866,BOOK,4/27/18,7/18/18,CHECKEDOUT,1,0,0,1,1
945551,2,ALDERMAN,STACKS,DC801 .V57 Z5 1963 v.1,1963,Les coulisses de Versailles.,"Ziegler, Gilette G.",X002196932,BOOK,6/29/96,10/31/17,STACKS,0,0,1,1,2
945551,2,ALDERMAN,STACKS,DC801 .V57 Z5 1963 v.2,1963,Les coulisses de Versailles.,"Ziegler, Gilette G.",X004576961,BOOK,2/7/02,1/11/11,STACKS,0,0,0,1,0
3824033,2,ALDERMAN,STACKS,DC801 .V59 P74 1998,1998,du vignoble à la résidence / Veyrier-du-Lac :,"Premat, Bernard.",X006132784,BOOK,3/26/02,1/11/11,STACKS,0,0,0,1,0
1301911,2,ALDERMAN,STACKS,DC801 .V6 C3,1950,La réforme et les guerres de religion à Vienne.,"Cavard, Pierre.",X000448091,BOOK,6/30/96,1/1/00,STACKS,0,0,1,1,2
1228656,2,ALDERMAN,STACKS,DC801 .V668 V4 1948,1948,Vézelay;,,X002185485,BOOK,6/30/96,1/12/09,STACKS,0,0,0,1,4
5415718,2,ALDERMAN,STACKS,DC801 .V67 C57 2011,2011,Nouvelle histoire de Vichy : 1940-1945 /,"Cointet, Michèle.",X031190240,BOOK,9/22/11,8/19/13,STACKS,1,6,0,1,7
657377,2,ALDERMAN,STACKS,DC801 .V67 C64 1981,1981,Vichy antique /,"Corrocher, Jacques.",X000764925,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,0
376549,2,ALDERMAN,STACKS,DC801 .V67 F73,1975,"Les complexes de Vichy : ou, Vichy les capitales /","Frélastre, Georges.",X000699472,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
150683,2,ALDERMAN,STACKS,DC801 .V69 P445,1980,Le sanctuaire métroaque de Vienne (France) /,"Pelletier, André.",X000492550,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
1934827,2,ALDERMAN,STACKS,DC801 .V719 M37 1991,1991,chronique d'une communauté de montagne / Maître Albert et les Faranchins :,"Martin-Burle, Madeleine.",X002072604,BOOK,6/30/96,1/12/09,STACKS,0,0,0,1,1
2518187,2,ALDERMAN,STACKS,DC801 .V719 M38 1995,1995,"Le temps des consuls, ou, La Faranche démocratique /","Martin-Burle, Madeleine.",X006053893,BOOK,7/1/96,1/1/00,STACKS,0,0,0,1,0
3726470,2,ALDERMAN,STACKS,DC801 .V7197 V55 1998 v.1,1998,"Les Villards-d'Héria, Jura : recherches archéologiques sur le site gallo-romain des Villards-d'Héria, Jura, 1958-1982 /",,X006119896,BOOK,6/13/01,1/12/09,STACKS,0,0,1,1,1
3726470,2,ALDERMAN,STACKS,DC801 .V7197 V55 1998 v.2,1998,"Les Villards-d'Héria, Jura : recherches archéologiques sur le site gallo-romain des Villards-d'Héria, Jura, 1958-1982 /",,X006119895,BOOK,6/13/01,1/12/09,STACKS,0,0,0,1,1
42028,2,ALDERMAN,STACKS,DC801 .V74 B69 1984,1984,la mise en scène des différences / Vie quotidienne et rapports sociaux dans une petite ville de province :,"Bozon, Michel.",X001006094,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,0
382350,2,ALDERMAN,STACKS,DC801 .V752 G82,1975,Histoire de Villiers-le-Bel /,"Guadagnin, Rémy.",X000699473,BOOK,6/28/96,1/12/09,STACKS,0,0,0,1,1
